Bacillus subtilis	BS.pilon.polished.v3.ST170922	circular
Cryptococcus neoformans	NC_026745.1 Cryptococcus neoformans var. grubii H99 chromosome 1, complete sequence	linear
Cryptococcus neoformans	NC_026746.1 Cryptococcus neoformans var. grubii H99 chromosome 2, complete sequence	linear
Cryptococcus neoformans	NC_026747.1 Cryptococcus neoformans var. grubii H99 chromosome 3, complete sequence	linear
Cryptococcus neoformans	NC_026748.1 Cryptococcus neoformans var. grubii H99 chromosome 4, complete sequence	linear
Cryptococcus neoformans	NC_026749.1 Cryptococcus neoformans var. grubii H99 chromosome 5, complete sequence	linear
Cryptococcus neoformans	NC_026750.1 Cryptococcus neoformans var. grubii H99 chromosome 6, complete sequence	linear
Cryptococcus neoformans	NC_026751.1 Cryptococcus neoformans var. grubii H99 chromosome 7, complete sequence	linear
Cryptococcus neoformans	NC_026752.1 Cryptococcus neoformans var. grubii H99 chromosome 8, complete sequence	linear
Cryptococcus neoformans	NC_026753.1 Cryptococcus neoformans var. grubii H99 chromosome 9, complete sequence	linear
Cryptococcus neoformans	NC_026754.1 Cryptococcus neoformans var. grubii H99 chromosome 10, complete sequence	linear
Cryptococcus neoformans	NC_026755.1 Cryptococcus neoformans var. grubii H99 chromosome 11, complete sequence	linear
Cryptococcus neoformans	NC_026756.1 Cryptococcus neoformans var. grubii H99 chromosome 12, complete sequence	linear
Cryptococcus neoformans	NC_026757.1 Cryptococcus neoformans var. grubii H99 chromosome 13, complete sequence	linear
Cryptococcus neoformans	NC_026758.1 Cryptococcus neoformans var. grubii H99 chromosome 14, complete sequence	linear
Cryptococcus neoformans	NC_018792.1 Cryptococcus neoformans var. grubii H99 mitochondrion, complete genome	circular
Enterococcus faecalis	Enterococcus_faecalis_complete_genome 2.845Mb	circular
Escherichia coli	Escherichia_coli_plasmid	circular
Escherichia coli	Escherichia_coli_chromosome	circular
Lactobacillus fermentum	Lactobacillus_fermentum_complete_genome 1.905Mb	circular
Listeria monocytogenes	Listeria_monocytogenes_complete_genome 2.992Mb	circular
Pseudomonas aeruginosa	Pseudomonas_aeruginosa_complete_genome 6,792Mb	circular
Saccharomyces cerevisiae	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence	linear
Saccharomyces cerevisiae	NC_001134.8 Saccharomyces cerevisiae S288C chromosome II, complete sequence	linear
Saccharomyces cerevisiae	NC_001135.5 Saccharomyces cerevisiae S288C chromosome III, complete sequence	linear
Saccharomyces cerevisiae	NC_001136.10 Saccharomyces cerevisiae S288C chromosome IV, complete sequence	linear
Saccharomyces cerevisiae	NC_001137.3 Saccharomyces cerevisiae S288C chromosome V, complete sequence	linear
Saccharomyces cerevisiae	NC_001138.5 Saccharomyces cerevisiae S288C chromosome VI, complete sequence	linear
Saccharomyces cerevisiae	NC_001139.9 Saccharomyces cerevisiae S288C chromosome VII, complete sequence	linear
Saccharomyces cerevisiae	NC_001140.6 Saccharomyces cerevisiae S288C chromosome VIII, complete sequence	linear
Saccharomyces cerevisiae	NC_001141.2 Saccharomyces cerevisiae S288C chromosome IX, complete sequence	linear
Saccharomyces cerevisiae	NC_001142.9 Saccharomyces cerevisiae S288C chromosome X, complete sequence	linear
Saccharomyces cerevisiae	NC_001143.9 Saccharomyces cerevisiae S288C chromosome XI, complete sequence	linear
Saccharomyces cerevisiae	NC_001144.5 Saccharomyces cerevisiae S288C chromosome XII, complete sequence	linear
Saccharomyces cerevisiae	NC_001145.3 Saccharomyces cerevisiae S288C chromosome XIII, complete sequence	linear
Saccharomyces cerevisiae	NC_001146.8 Saccharomyces cerevisiae S288C chromosome XIV, complete sequence	linear
Saccharomyces cerevisiae	NC_001147.6 Saccharomyces cerevisiae S288C chromosome XV, complete sequence	linear
Saccharomyces cerevisiae	NC_001148.4 Saccharomyces cerevisiae S288C chromosome XVI, complete sequence	linear
Saccharomyces cerevisiae	NC_001224.1 Saccharomyces cerevisiae S288c mitochondrion, complete genome	circular
Salmonella enterica	Salmonella_enterica_plasmid1 Salmonella enterica strain FDAARGOS_609 unitig_1_quiver_trim_quiver_pilon, whole genome shotgun sequence	circular
Salmonella enterica	Salmonella_enterica_chromosome	circular
Staphylococcus aureus	Staphylococcus_aureus_chromosome	circular
Staphylococcus aureus	Staphylococcus_aureus_plasmid1	circular
Staphylococcus aureus	Staphylococcus_aureus_plasmid2	circular
Staphylococcus aureus	Staphylococcus_aureus_plasmid3	circular
